"RNA-seq counts from 3' sequencing, normalized to 10M reads",,,,,,,,,,,,,,,,,
UNIQUD,NAME,LT-HSC,HSC,MPP,CLP,CMP,GMP,MF,Granulocyte,Mono,B,CD4,CD8,NK,MEP,EryA,EryB
NM_153164,Cnot1,540.238,306.3916,124.6725,187.0496,252.1194,275.2207,60.8726,53.6795,74.6007,423.8752,218.4052,243.6327,443.4505,570.1173,120.5375,35.068
NM_026904,Anapc10,48.236,66.9788,18.9018,30.6682,39.1143,34.4479,6.3101,9.9581,11.4257,78.0903,33.093,53.2183,76.7555,83.6219,13.0591,3.791
NM_145453,Zcchc9,192.942,89.7799,60.8972,68.915,80.3184,78.0567,33.5946,29.0693,42.3403,170.1166,70.1571,95.6225,179.086,185.7185,43.1892,16.112
NR_027644,Vsig8,0,0,0.1312,0,0,0,0.4638,0.1568,0,0,0,0,0,0,0,0
NM_177704,Sytl5,0,38.4778,0.6561,0.3788,0.3491,0,0.0928,0.1176,0.2241,2.7881,0,0,0,2.4118,0,0
NM_052991,Fxyd1,38.588,1.4251,11.2834,12.114,0.3491,0,0.464,0.1174,0.2241,0,0,12.4757,0,0,0,1.896
NR_030469,Mir669b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_013826,Mocs2,212.236,145.3582,41.3397,60.5863,75.7789,85.0154,22.7325,8.5972,30.0194,117.1306,48.9753,53.2159,123.6464,137.4614,31.1366,9.478
NR_028096,Rabggtb,926.122,319.2202,121.5325,224.9447,243.0388,258.3613,59.2049,14.7399,52.8728,234.2681,129.7193,155.4927,140.7178,1037.1221,344.0364,143.114
NM_001126322,Gm11595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_009470,Umod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_183106,Ttc17,434.12,259.3643,112.3449,144.6532,159.5936,157.9469,64.5874,62.7606,101.0374,488.0513,334.878,238.6444,422.1191,275.7851,85.3789,30.329
NR_029918,Mir370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_018741,Igfbpl1,0,0,4.592,0.3785,0,0,0,0,0,0,0,0,0,0.8035,0,0
NM_001252569,Serpina1a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_134072,Akr1c14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001177354,Myc,1447.066,1396.5794,569.8162,565.4336,761.9077,724.8875,134.4771,18.0954,43.2369,175.6964,99.2748,143.864,72.4852,1168.2265,11.5523,10.426
NM_001130444,Hras,810.357,852.1992,224.321,249.5817,223.8357,278.5076,113.4838,34.0532,90.953,170.1155,131.0471,117.2467,260.0909,970.415,1860.3127,598.995
NM_009990,Clip2,48.236,75.5302,20.4698,13.6291,22.6993,11.7273,14.1024,23.5466,5.152,33.4665,31.7648,4.1563,102.3308,13.6736,3.0136,0.948
NM_015779,Elane,28.941,1409.3688,3074.9849,1389.638,899.1825,6979.4471,1375.6827,6.8617,189.7084,2.7893,0,9.1463,4.2648,165.5949,20.093,9.478
NM_001081383,Kmt2c,694.592,639.8637,162.3416,210.5123,302.0659,228.6678,93.8211,133.2731,171.8337,1043.0005,671.116,662.6999,831.4573,405.2434,357.0929,147.853
NM_001033191,Naa11,0,5.7006,2.6256,1.1367,0,0,0.4641,0.6074,0.8958,0,0,0,0,0,7.0331,0
NM_026213,Ttc33,86.824,74.1034,38.3162,60.588,55.521,59.7301,21.804,12.5261,26.2111,92.0358,33.0926,40.7467,72.4836,75.5765,27.6219,88.143
NM_207301,Wrb,28.941,28.5018,20.9976,30.678,42.9522,35.5474,13.5466,4.8128,7.6184,44.6191,15.8845,21.62,25.584,84.4241,1.0046,0
NM_134020,Tmed4,183.295,106.8821,67.8511,76.8681,112.7947,127.16,42.2193,20.34,30.6915,64.1446,43.6811,30.7664,166.3002,112.5562,18.0828,9.478
NM_153552,Thoc1,154.354,171.0104,40.5534,72.3146,105.4622,118.3669,17.9082,8.8243,29.797,304.0052,135.0154,112.2514,127.9164,272.5544,30.6374,12.321
NM_001276317,Uba1,2093.423,1769.9485,547.7257,645.0176,730.862,759.6839,274.2158,174.824,247.321,610.729,358.7063,471.4733,1048.8944,1571.1694,411.3447,148.801
NM_001011811,Olfr487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_030483,Mir702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001081476,Gm14725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_026921,Isca1,183.295,122.5578,14.3042,31.4371,20.9532,18.3226,23.8464,8.1469,13.8878,108.7706,18.5315,39.9109,68.2259,149.5542,900.5263,1390.389
NM_001081096,Fam154a,0,0,4.592,0,0,0,0.1857,0.1765,0.224,0,0,0,4.2648,0,0.5025,0
NM_001113389,Dyrk1a,627.062,381.9236,133.2065,178.3492,209.5239,203.3833,66.1641,87.3774,80.4301,527.0684,275.3269,251.1082,447.7325,341.7214,401.2883,164.913
NM_133672,Vps26a,385.884,210.9116,104.4648,124.2074,192.4054,211.0853,138.3492,66.4987,124.5599,209.1641,107.2154,128.8753,298.4815,390.7585,163.7323,74.874
NM_001205274,Crxos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001078649,Tmem134,1620.714,401.8716,259.9797,374.5365,315.6731,278.873,360.6643,305.7949,334.0171,987.1764,469.9029,482.2856,1112.8659,666.5185,1413.8526,659.653
NM_013771,Yme1l1,86.824,163.8841,36.4863,75.3481,131.3006,109.9407,19.9495,20.7365,47.9462,312.3662,191.9301,156.3273,217.4542,250.0543,67.8056,37.911
NM_001033532,AW554918,405.179,333.4675,78.0807,79.1407,113.8474,87.2154,32.2941,36.7468,47.7168,454.5893,227.6725,201.2194,324.0551,177.6863,43.193,18.008
NM_018773,Skap2,559.532,383.3467,188.1939,198.4119,330.3382,314.7874,205.0718,373.3841,284.9747,315.143,43.6838,29.9383,375.2403,134.2607,20.0897,11.373
NM_201395,Sall4,0,1.4252,2.3616,0.3785,1.7456,1.0996,0.1855,0.2154,0.4481,0,1.3234,2.4951,0,3.2153,0.5025,0
NM_175029,Atg4c,202.589,89.7803,34.9114,42.0272,49.5853,48.3725,36.5558,37.4687,80.2052,94.817,1.3234,9.1472,179.0931,60.2908,3.5157,0.948
