Symbols,Genes ,b05 Neutrophil1 Exp2,b07 Neutrophil3 Exp2,b10 Monocyte1 Exp2,b11 Monocyte2 Exp2,a01 brain microglia1 Exp1 m,a02 brain microglia2 Exp1 m,a06 peritoneum Mac1 Exp1 m,a07 peritoneum Mac2 Exp1 m,b08 Spleen Mac1 Exp2,b09 Spleen Mac2 Exp2,b04 Kupffer Exp2,b15 Kupffer2 Exp2,a12 LI Mac2 Exp1 m,a13 LI Mac3 Exp1 m,a10 SI Mac3 Exp1 m,a11 SI Mac4 Exp1 m,b02 lung Exp2,b17 lung mac2 Exp2
PARP16,NM_177460,13.77929067,15.38586378,3.409735244,0.767206032,17.85266715,5.562190251,0,0,4.983311097,0,3.118808237,0,7.073803195,0,2.246764282,3.318750495,4.424899414,11.06986277
1110059G10RIK,NM_025419,13.77929067,19.78182486,23.86814671,13.04250255,46.98070304,51.91377567,31.50039401,49.64777726,15.94659551,20.45154085,17.67324667,18.16892121,27.11624558,34.89749378,25.27609817,16.59375248,26.54939648,13.28383532
SLC39A2,NM_001039676,4.133787201,2.19798054,0,0,0,0,0,0,0.996662219,0,0,0,0,0,0,0,154.239351,141.6942434
KRT81,NM_001166157,1.377929067,5.861281441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UGT3A2,NM_144845,0,0,0,0,2.818842182,0,0,0,0,0,0,0,1.178967199,0,0,0,0,0
RANBP10,NM_145824,28.93651041,28.57374703,16.19624241,27.61941716,39.46379055,33.3731415,30.24037825,32.49672693,37.87316433,20.74370572,9.650978821,17.15953669,12.96863919,15.7038722,16.98446808,22.61856107,26.54939648,7.748903937
CDADC1,NM_001168538,4.133787201,13.18788324,5.114602866,1.534412064,6.577298425,2.781095125,11.34014184,6.318808015,4.983311097,0,7.277219219,5.046922557,1.178967199,2.326499585,3.370146423,1.991250297,5.057027901,1.106986277
TMEM85,NM_026519,29.62547494,26.37576649,28.55653267,37.97669859,52.14858037,53.76783909,44.73055949,23.01851491,25.41488659,19.72112867,51.98013728,24.22522827,36.54798317,41.58618008,35.94822851,39.82500595,41.40441594,47.04691676
ACOXL,NM_028765,0,0,0,0,0,0,0,0,0,1.460824346,0,8.075076091,5.894835996,0,0.56169107,0,0,21.03273926
ARHGEF18,NM_133962,90.94331843,140.6707546,90.35798397,82.09104544,10.33575467,67.67331472,3.780047281,19.8591109,11.95994663,20.45154085,4.158410982,30.28153534,1.178967199,9.30599834,6.740292845,14.60250218,17.06746917,17.71178043
MUG1,NM_008645,0,0,0,0,0,0,0,0,0,0,4.678212355,0,0,0,0,0,0,0
SMTNL1,NM_024230,0,0,0.852433811,0,0,0.927031708,0,0,0,0,3.118808237,0,0,0,1.685073211,0,0,0
BANK1,NM_001033350,16.5351488,15.38586378,5.967036677,0.767206032,27.24880776,45.42455371,118.4414815,45.13434296,219.7640194,203.0545841,205.8413436,152.4170612,18.86347519,28.49961992,64.5944731,42.48000634,5.689156389,0
GLT25D2,NM_177756,0,0,0,0,0,0,0,0,3.986648877,0,0,0,0,1.163249793,0,1.991250297,1.264256975,0
MMP3,NM_010809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56169107,0,0.632128488,1.106986277
ZFP169,NM_001164576,0,0,0,0,0,0,3.780047281,0,0,0,0,0,1.178967199,0,0,0,0,0
SRPX2,NM_001083895,0,0,0,0,0,0,0,1.805373719,0.996662219,0,0,1.009384511,3.536901597,0,3.931837493,3.982500595,0,0
BC016423,NM_134063,0,0,1.278650717,0,1.409421091,0,3.150039401,3.610747437,1.993324439,0,1.039602746,0,1.178967199,0.581624896,0.56169107,2.655000396,0,0
1110021J02RIK,NM_001163741,5.511716268,2.381145585,4.262169055,0,0.939614061,0.927031708,0,3.610747437,0,0,1.104577917,2.018769023,0,3.489749378,2.808455352,3.982500595,1.264256975,0
ASPH,NM_001177849,1.377929067,0,1.704867622,1.150809048,15.503632,72.30847326,10.71013396,6.318808015,5.979973316,6.573709558,4.158410982,12.61730639,11.78967199,1.744874689,0,3.318750495,12.64256975,8.855890214
4933406I18RIK,NR_029438,0,0,0,0,8.456526547,1.854063417,0,5.416121156,0,0,0,0,0,1.163249793,0,0,0,0
SLAMF6,NM_030710,0,0,1.704867622,0.767206032,1.879228121,8.343285376,0,3.610747437,0,1.460824346,2.079205491,2.018769023,4.715868797,6.397873859,6.740292845,3.982500595,0,7.748903937
OLFR652,NM_147048,0,0,0,0,0,0,0,0,0,1.460824346,0,0,0,0,0,0,0,0
UTP20,NM_175158,4.133787201,0,15.3438086,3.068824129,7.634364243,9.270317085,8.820110322,5.867464585,10.96328441,10.22577042,13.51483569,10.09384511,14.23181833,16.41474707,17.31741164,19.24875287,12.01044127,15.68230559
PHF2,NM_011078,17.91307787,17.58384432,19.60597765,16.87853271,24.42996558,16.68657075,32.76040977,31.59404008,33.88651546,32.13813562,16.63364393,17.15953669,21.22140958,23.84662075,40.44175707,37.17000555,19.59598312,27.67465692
PHF17,NM_001130184,16.5351488,48.35557189,24.72058052,13.80970858,46.04108898,19.46766588,63.00078801,37.01016123,15.94659551,20.45154085,8.316821965,29.27215083,7.073803195,19.77524647,20.78256961,18.58500277,13.27469824,14.3908216
4930455F23RIK,NM_029115,5.511716268,2.19798054,9.376771922,6.904854289,6.577298425,13.90547563,20.16025216,7.221494874,10.96328441,26.29483823,13.51483569,4.037538046,21.22140958,14.54062241,2.808455352,7.30125109,18.96385463,18.8187667
RTP4,NM_023386,188.7762822,239.5798789,80.12877824,48.33398002,125.9082841,82.50582205,267.1233412,252.7523206,100.6628842,81.80616339,335.7916868,353.284579,54.23249116,59.32573942,78.07505879,65.04750971,8.849798827,13.28383532
OSBPL10,NM_148958,0,0,0,1.534412064,0,0,0,0,0,0,0,0,3.536901597,2.326499585,0,0.663750099,0,0
CPNE9,NM_170673,0,4.395961081,4.262169055,2.301618096,0,0,1.26001576,2.708060578,0,0,2.079205491,0,2.357934398,3.489749378,1.123382141,0,0.632128488,0
LIG1,NM_010715,27.55858134,4.395961081,74.58795847,120.451347,26.3091937,11.1243805,2.52003152,37.91284809,75.74632867,61.35462254,75.89100043,104.9759892,20.04244239,5.234624066,47.74374099,26.55000396,48.04176506,57.56328639
